TM,STN_ID,PM10,STN,WD,WS,GST_WD,GST_WS,GST_TM,PA,PS,PT,PR,TA,TD,HM,PV,RN,RN_DAY,RN_JUN,RN_INT,SD_HR3,SD_DAY,SD_TOT,WC,WP,WW,CA_TOT,CA_MID,CH_MIN,CT,CT_TOP,CT_MID,CT_LOW,VS,SS,SI,ST_GD,TS,TE_005,TE_01,TE_02,TE_03,ST_SEA,WH,BF,IR,IX
202201020000,136.0,25.0,136,0,0.1,-9,-9.0,-9,1011.1,1029.5,8,-0.1,-7.3,-15.4,52.0,1.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-8.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020100,136.0,30.0,136,0,0.4,-9,-9.0,-9,1010.9,1029.4,-9,-9.0,-8.3,-15.5,56.0,1.8,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,1,40,-,-9,-9,-9,1984,-9.0,-9.0,-9,-8.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201020200,136.0,27.0,136,0,0.1,-9,-9.0,-9,1010.7,1029.2,-9,-9.0,-8.5,-15.0,59.0,1.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,41,-,-9,-9,-9,1987,-9.0,-9.0,-9,-8.7,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,-9
202201020300,136.0,27.0,136,0,0.0,-9,-9.0,-9,1010.5,1029.0,7,-0.5,-8.8,-14.9,61.0,1.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-9.4,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020400,136.0,20.0,136,0,0.0,-9,-9.0,-9,1009.8,1028.4,-9,-9.0,-10.2,-15.1,67.0,1.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,1996,-9.0,-9.0,-9,-9.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020500,136.0,24.0,136,34,0.5,-9,-9.0,-9,1009.1,1027.7,-9,-9.0,-9.9,-15.2,65.0,1.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,0,0,-9,-,-9,-9,-9,2000,-9.0,-9.0,-9,-9.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020600,136.0,23.0,136,11,0.7,-9,-9.0,-9,1008.9,1027.5,7,-1.5,-9.4,-14.5,66.0,2.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,2,2,35,Ac,0,3,0,1999,-9.0,-9.0,-9,-9.9,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020700,136.0,23.0,136,0,0.1,-9,-9.0,-9,1009.1,1027.8,-9,-9.0,-11.0,-15.0,72.0,1.9,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,3,3,35,Ac,0,3,0,1994,-9.0,-9.0,-9,-10.0,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020800,136.0,25.0,136,32,0.5,-9,-9.0,-9,1009.3,1027.9,-9,-9.0,-9.5,-14.4,67.0,2.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,8,8,11,Sc,0,0,5,1858,0.0,0.0,-9,-6.5,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
202201020900,136.0,25.0,136,14,0.6,-9,-9.0,-9,1009.1,1027.5,4,0.0,-7.4,-13.4,62.0,2.2,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9,-9,-,6,6,10,Sc,0,0,5,1912,0.4,0.26,-9,-4.6,-99.0,-99.0,-99.0,-99.0,-9,-9.0,-9,3,2
