TM,STN_ID,PM10
201801010000,108.0,34.0
201801010100,108.0,37.0
201801010200,108.0,29.0
201801010300,108.0,29.0
201801010400,108.0,35.0
201801010500,108.0,30.0
201801010600,108.0,33.0
201801010700,108.0,33.0
201801010800,108.0,33.0
201801010900,108.0,24.0
201801011000,108.0,40.0
201801011100,108.0,63.0
201801011200,108.0,55.0
201801011300,108.0,38.0
201801011400,108.0,48.0
201801011500,108.0,54.0
201801011600,108.0,46.0
201801011700,108.0,40.0
201801011800,108.0,28.0
201801011900,108.0,26.0
201801012000,108.0,36.0
201801012100,108.0,25.0
201801012200,108.0,41.0
201801012300,108.0,38.0
201801020000,108.0,42.0
201801020100,108.0,41.0
201801020200,108.0,53.0
201801020300,108.0,49.0
201801020400,108.0,44.0
201801020500,108.0,56.0
201801020600,108.0,39.0
201801020700,108.0,42.0
201801020800,108.0,47.0
201801020900,108.0,41.0
201801021000,108.0,47.0
201801021100,108.0,50.0
201801021200,108.0,53.0
201801021300,108.0,42.0
201801021400,108.0,19.0
201801021500,108.0,26.0
201801021600,108.0,20.0
201801021700,108.0,20.0
201801021800,108.0,13.0
201801021900,108.0,15.0
201801022000,108.0,5.0
201801022100,108.0,7.0
201801022200,108.0,13.0
201801022300,108.0,19.0
201801030000,108.0,20.0
201801030100,108.0,26.0
201801030200,108.0,33.0
201801030300,108.0,22.0
201801030400,108.0,34.0
201801030500,108.0,37.0
201801030600,108.0,34.0
201801030700,108.0,30.0
201801030800,108.0,38.0
201801030900,108.0,34.0
201801031000,108.0,60.0
201801031100,108.0,49.0
201801031200,108.0,49.0
201801031300,108.0,53.0
201801031400,108.0,36.0
201801031500,108.0,33.0
201801031600,108.0,40.0
201801031700,108.0,36.0
201801031800,108.0,11.0
201801031900,108.0,14.0
201801032000,108.0,7.0
201801032100,108.0,12.0
201801032200,108.0,18.0
201801032300,108.0,24.0
201801040000,108.0,18.0
201801040100,108.0,23.0
201801040200,108.0,36.0
201801040300,108.0,39.0
201801040400,108.0,32.0
201801040500,108.0,33.0
201801040600,108.0,32.0
201801040700,108.0,25.0
201801040800,108.0,36.0
201801040900,108.0,33.0
201801041000,108.0,48.0
201801041100,108.0,51.0
201801041200,108.0,63.0
201801041300,108.0,65.0
201801041400,108.0,62.0
201801041500,108.0,45.0
201801041600,108.0,49.0
201801041700,108.0,41.0
201801041800,108.0,34.0
201801041900,108.0,33.0
201801042000,108.0,31.0
201801042100,108.0,28.0
201801042200,108.0,34.0
201801042300,108.0,45.0
201801050000,108.0,31.0
201801050100,108.0,42.0
201801050200,108.0,51.0
201801050300,108.0,52.0
201801050400,108.0,50.0
201801050500,108.0,43.0
201801050600,108.0,46.0
